Family,MajorAxisLength,MinorAxisLength,Sample,Oto length (mm),Oto length (um),Type age,Region,Locality
Apogonidae,109.4609367,73.93405037,AT14-2-2,1.104713454,1104.713454,Sub Recent,Bocas,Punta Donato
Apogonidae,119.3902792,83.87427198,AT14-2-2,1.134870263,1134.870263,Sub Recent,Bocas,Punta Donato
Apogonidae,114.2609815,88.1953089,AT14-1-7,1.142609815,1142.609815,Sub Recent,Bocas,Casa Blanca new
Apogonidae,115.0507199,91.76369413,AT14-2-2,1.1565625,1156.5625,Sub Recent,Bocas,Punta Donato
Apogonidae,119.9358573,77.4141678,AT14-2-2,1.165709234,1165.709234,Sub Recent,Bocas,Punta Donato
Apogonidae,116.9815066,89.70088162,AT12-4-3-1,1.169815066,1169.815066,Sub Recent,Bocas,SW Bocas Island
Apogonidae,115.5843069,88.24812255,AT14-2-2,1.170306173,1170.306173,Sub Recent,Bocas,Punta Donato
Apogonidae,123.9766879,89.24962142,AT14-2-2,1.181146111,1181.146111,Sub Recent,Bocas,Punta Donato
Apogonidae,109.9148823,81.27486463,AT14-2-2,1.186594917,1186.594917,Sub Recent,Bocas,Punta Donato
Apogonidae,114.7113687,87.4159448,AT14-2-2,1.251511095,1251.511095,Sub Recent,Bocas,Punta Donato
Apogonidae,125.7800095,90.77460519,AT12-1-2-1,1.257800095,1257.800095,Sub Recent,Bocas,STRI Point
Apogonidae,127.0001715,93.74673213,AT14-3-3,1.270001715,1270.001715,Sub Recent,Bocas,Cayo Adriana
Apogonidae,129.0497088,97.88695281,AT14-3-3,1.290497088,1290.497088,Sub Recent,Bocas,Cayo Adriana
Apogonidae,129.2959652,93.86722543,AT14-1-1,1.292959652,1292.959652,Sub Recent,Bocas,Casa Blanca new
Apogonidae,131.8437411,98.25169628,AT12-4-3-1,1.318437411,1318.437411,Sub Recent,Bocas,SW Bocas Island
Apogonidae,132.4313602,100.9632206,AT14-4-3,1.324313602,1324.313602,Sub Recent,Bocas,Airport Point
Apogonidae,133.632696,96.79553418,AT12-1-2-1,1.33632696,1336.32696,Sub Recent,Bocas,STRI Point
Apogonidae,133.9532006,88.64278795,AT14-1-1,1.339532006,1339.532006,Sub Recent,Bocas,Casa Blanca new
Apogonidae,135.7588433,100.0092278,AT12-4-4-2,1.357588433,1357.588433,Sub Recent,Bocas,SW Bocas Island
Apogonidae,136.5143468,99.6677237,AT14-1-3,1.365143468,1365.143468,Sub Recent,Bocas,Casa Blanca new
