"","family","abund_mean","abund_stderr"
"1","Acanthuridae",1.58730158730159,NA
"2","Apogonidae",8.46272310108095,0.719178038442786
"3","Atherinidae",11.2108877015504,1.22589944444803
"4","Atherinopsidae",3.33333333333333,NA
"5","Batrachoididae",3.01470588235294,0.78162836858343
"6","Blenniidae",4.76190476190476,NA
"7","Bregmacerotidae",3.08269956655627,0.788951376923239
"8","Bythitidae",3.72955786047254,0.495563698020831
"9","Clupeidae",3.6342516980024,0.340936190960992
"10","Engraulidae",12.3075292312024,1.28551731837314
"11","Gerreidae",3.59876174020911,1.2746278881289
"12","Gobiidae",49.5865841761088,2.55697398487688
"13","Haemulidae",3.00318694293805,0.491522495212893
"14","Labridae",3.18958818338523,0.450139373433978
"15","Labrisomidae",1.61290322580645,NA
"16","Opistognathidae",2.08333333333333,NA
"17","Paralichthyidae",2.94117647058824,NA
"18","Pomacentridae",4.11284621810938,1.51513067848319
"19","Scorpaenidae",1.66666666666667,NA
"20","Serranidae",2.6499766573296,0.416897495738993
"21","Sin_identificar",15.2221538121576,1.08977394712143
"22","Synodontidae",2.4393174717616,1.06945445806297
